source,target,value
TDEE,Total,1912
REE,Total,1825
Resting,Total,2178
Active,Total,2276
Liver,Total,516
Brain,Total,363
SkeletalMuscle,Total,344
Kidney,Total,191
Heart,Total,133
Active,Sprint,19
Liver,Sprint,5.13
Power,Sprint,7.9
Brain,Sprint,3.61
SkeletalMuscle,Sprint,3.42
Kidney,Sprint,1.9
Heart,Sprint,1.33
Arm,Sprint,0.28
Leg,Sprint,0.23
Wind,Sprint,2.39
WorkRate,Sprint,0.28
WorkRate,Step,0.00337452199
Leg,Step,0.00262906
Arm,Step,0.00330186424
Wind,Step,0.0282027


