stance_time,step_length,cadence,vertical_oscillation,segments
169,364,102,97.5,first_curve
167,1658,101,92.7,first_curve
166,1665,100,93.7,first_curve
168,1672,100,93.7,first_curve
168,1701,99,93.7,first_curve
169,1705,98,96.5,first_curve
170,1694,98,95.5,first_curve
168,1675,97,95.5,first_curve
168,1672,97,95.5,first_curve
170,1638,97,95.5,first_curve
170,1634,96,95.5,first_curve
171,1627,96,94.5,first_curve
169,1673,94,100.5,first_straight
167,1681,93,102.5,first_straight
168,1569,93,103.5,first_straight
171,1586,93,102.5,first_straight
171,1558,93,100.5,first_straight
174,1547,93,99.5,first_straight
171,1543,93,99.5,first_straight
171,1542,93,99.5,second_curve
172,1545,93,99.5,second_curve
174,1541,92,98.5,second_curve
174,1538,92,98.5,second_curve
173,1528,92,99.5,second_curve
171,1525,92,98.5,second_curve
170,1524,92,98.5,second_curve
170,1506,91,97.5,second_curve
171,1496,91,94.5,second_curve
171,1497,91,94.5,second_curve
175,1487,92,95.5,second_curve
182,1488,91,96.5,second_curve
184,1491,91,97.5,second_curve
183,1500,91,97.5,second_curve
181,1504,91,97.5,second_curve
183,1554,91,100.5,last_stretch
180,1553,89,102.5,last_stretch
186,1524,89,105.2,last_stretch
